dataset,model,elapsed_mean,elapsed_std,nnz_mean,nnz_std,fdr_mean,fdr_std,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,shd_mean,shd_std,SID_mean,SID_std,source_kind,graph_kind,n_nodes,filename_n_edges,n_edges,graph_type,graph_type_label,NSHD_mean,NSHD_std,SID_low_mean,SID_low_std,SID_high_mean,SID_high_std,NSID_mean,NSID_std,NSID_low_mean,NSID_low_std,NSID_high_mean,NSID_high_std
dag_15_nodes_15_edges_none_SF,Random,0.0,0.0,62.82,25.82,0.93,0.04,0.29,0.18,0.65,0.27,0.07,0.04,0.29,0.18,0.1,0.06,64.84,20.56,47.66,22.71,,dag,15,15,14,SF,SF,4.631428571428572,1.4685714285714284,47.66,22.71,47.66,22.71,3.404285714285714,1.622142857142857,3.404285714285714,1.622142857142857,3.404285714285714,1.622142857142857
dag_15_nodes_15_edges_none_random,FGS,0.11,0.03,10.08,2.15,0.86,0.07,0.09,0.04,0.1,0.02,0.14,0.07,0.09,0.04,0.11,0.05,21.72,2.08,54.58,9.93,,dag,15,15,15,random,LT,1.448,0.13866666666666666,54.58,9.93,54.58,9.93,3.6386666666666665,0.662,3.6386666666666665,0.662,3.6386666666666665,0.662
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.4,0.14,0.04,0.2,0.02,0.14,0.0,0.01,0.0,0.0,0.02,0.14,0.0,0.01,0.0,0.02,14.98,0.14,59.92,1.08,,dag,15,15,15,random,LT,0.9986666666666667,0.009333333333333334,59.92,1.08,59.92,1.08,3.994666666666667,0.07200000000000001,3.994666666666667,0.07200000000000001,3.994666666666667,0.07200000000000001
dag_15_nodes_15_edges_none_random,Random,0.0,0.0,62.82,25.82,0.93,0.03,0.31,0.17,0.65,0.27,0.07,0.03,0.31,0.17,0.11,0.05,64.18,20.41,61.14,18.82,,dag,15,15,15,random,LT,4.278666666666667,1.3606666666666667,61.14,18.82,61.14,18.82,4.076,1.2546666666666666,4.076,1.2546666666666666,4.076,1.2546666666666666
dag_15_nodes_15_edges_semantics_ER,FGS,0.11,0.04,8.74,2.08,0.87,0.09,0.08,0.06,0.08,0.02,0.13,0.09,0.08,0.06,0.1,0.07,20.5,2.09,35.0,4.17,,dag,15,15,15,ER,ER,1.3666666666666667,0.13933333333333334,35.0,4.17,35.0,4.17,2.3333333333333335,0.27799999999999997,2.3333333333333335,0.27799999999999997,2.3333333333333335,0.27799999999999997
dag_15_nodes_15_edges_semantics_ER,NOTEARS-MLP,0.49,0.18,0.02,0.14,0.02,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,35.02,0.14,,dag,15,15,15,ER,ER,1.0,0.0,35.02,0.14,35.02,0.14,2.3346666666666667,0.009333333333333334,2.3346666666666667,0.009333333333333334,2.3346666666666667,0.009333333333333334
dag_15_nodes_15_edges_semantics_ER,Random,0.0,0.0,62.82,25.82,0.93,0.03,0.3,0.17,0.65,0.27,0.07,0.03,0.3,0.17,0.11,0.05,64.12,20.47,37.68,12.39,,dag,15,15,15,ER,ER,4.274666666666667,1.3646666666666667,37.68,12.39,37.68,12.39,2.512,0.8260000000000001,2.512,0.8260000000000001,2.512,0.8260000000000001
dag_15_nodes_15_edges_semantics_SF,FGS,0.11,0.04,7.04,2.06,0.93,0.1,0.04,0.06,0.07,0.02,0.07,0.1,0.04,0.06,0.05,0.07,18.84,1.69,42.92,11.57,,dag,15,15,14,SF,SF,1.3457142857142856,0.1207142857142857,42.92,11.57,42.92,11.57,3.065714285714286,0.8264285714285714,3.065714285714286,0.8264285714285714,3.065714285714286,0.8264285714285714
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.39,0.18,0.02,0.14,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.14,0.0,0.01,0.0,0.02,13.98,0.14,31.9,0.71,,dag,15,15,14,SF,SF,0.9985714285714286,0.01,31.9,0.71,31.9,0.71,2.2785714285714285,0.05071428571428571,2.2785714285714285,0.05071428571428571,2.2785714285714285,0.05071428571428571
dag_15_nodes_15_edges_semantics_SF,Random,0.0,0.0,62.82,25.82,0.94,0.03,0.28,0.17,0.65,0.26,0.06,0.03,0.28,0.17,0.09,0.05,64.84,20.54,51.22,20.92,,dag,15,15,14,SF,SF,4.631428571428572,1.467142857142857,51.22,20.92,51.22,20.92,3.6585714285714284,1.4942857142857144,3.6585714285714284,1.4942857142857144,3.6585714285714284,1.4942857142857144
dag_15_nodes_15_edges_semantics_random,FGS,0.13,0.07,9.96,1.99,0.9,0.08,0.07,0.05,0.1,0.02,0.1,0.08,0.07,0.05,0.08,0.06,22.42,2.44,67.8,11.11,,dag,15,15,15,random,LT,1.4946666666666668,0.16266666666666665,67.8,11.11,67.8,11.11,4.52,0.7406666666666666,4.52,0.7406666666666666,4.52,0.7406666666666666
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,1.86,0.75,0.08,0.34,0.03,0.16,0.0,0.01,0.0,0.0,0.03,0.16,0.0,0.01,0.0,0.02,14.96,0.2,68.74,1.86,,dag,15,15,15,random,LT,0.9973333333333334,0.013333333333333334,68.74,1.86,68.74,1.86,4.582666666666666,0.12400000000000001,4.582666666666666,0.12400000000000001,4.582666666666666,0.12400000000000001
dag_15_nodes_15_edges_semantics_random,Random,0.0,0.0,62.82,25.82,0.92,0.03,0.32,0.17,0.65,0.27,0.08,0.03,0.32,0.17,0.12,0.05,63.76,20.61,86.58,22.76,,dag,15,15,15,random,LT,4.250666666666667,1.3739999999999999,86.58,22.76,86.58,22.76,5.772,1.5173333333333334,5.772,1.5173333333333334,5.772,1.5173333333333334
dag_15_nodes_22_edges_degrees_ER,FGS,0.21,0.06,13.72,2.56,0.92,0.06,0.05,0.04,0.15,0.03,0.08,0.06,0.05,0.04,0.06,0.05,31.32,2.85,113.84,15.48,,dag,15,22,22,ER,ER,1.4236363636363636,0.12954545454545455,113.84,15.48,113.84,15.48,5.174545454545455,0.7036363636363636,5.174545454545455,0.7036363636363636,5.174545454545455,0.7036363636363636
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,2.31,0.79,0.12,0.33,0.1,0.3,0.0,0.01,0.0,0.0,0.02,0.14,0.0,0.01,0.0,0.01,21.98,0.14,99.1,1.34,,dag,15,22,22,ER,ER,0.9990909090909091,0.006363636363636364,99.1,1.34,99.1,1.34,4.504545454545454,0.06090909090909091,4.504545454545454,0.06090909090909091,4.504545454545454,0.06090909090909091
dag_15_nodes_22_edges_degrees_ER,Random,0.0,0.0,62.82,25.82,0.9,0.04,0.29,0.17,0.68,0.28,0.1,0.04,0.29,0.17,0.14,0.06,65.34,17.99,99.3,20.05,,dag,15,22,22,ER,ER,2.97,0.8177272727272726,99.3,20.05,99.3,20.05,4.513636363636364,0.9113636363636364,4.513636363636364,0.9113636363636364,4.513636363636364,0.9113636363636364
dag_15_nodes_22_edges_degrees_SF,FGS,0.11,0.03,9.28,1.65,0.96,0.06,0.02,0.04,0.1,0.02,0.04,0.06,0.02,0.04,0.03,0.04,21.24,1.66,42.98,5.96,,dag,15,22,14,SF,SF,1.5171428571428571,0.11857142857142856,42.98,5.96,42.98,5.96,3.07,0.4257142857142857,3.07,0.4257142857142857,3.07,0.4257142857142857
dag_15_nodes_22_edges_degrees_SF,NOTEARS-MLP,0.65,0.53,0.1,0.58,0.04,0.2,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,14.06,0.42,31.78,4.08,,dag,15,22,14,SF,SF,1.0042857142857142,0.03,31.78,4.08,31.78,4.08,2.27,0.2914285714285714,2.27,0.2914285714285714,2.27,0.2914285714285714
dag_15_nodes_22_edges_degrees_SF,Random,0.0,0.0,62.82,25.82,0.93,0.03,0.29,0.17,0.65,0.27,0.07,0.03,0.29,0.17,0.1,0.05,64.24,21.51,56.82,21.54,,dag,15,22,14,SF,SF,4.588571428571428,1.5364285714285715,56.82,21.54,56.82,21.54,4.058571428571429,1.5385714285714285,4.058571428571429,1.5385714285714285,4.058571428571429,1.5385714285714285
dag_15_nodes_22_edges_degrees_random,FGS,0.11,0.03,15.54,2.22,0.92,0.06,0.06,0.04,0.17,0.02,0.08,0.06,0.06,0.04,0.07,0.05,32.46,2.32,116.62,10.33,,dag,15,22,22,random,LT,1.4754545454545456,0.10545454545454545,116.62,10.33,116.62,10.33,5.300909090909091,0.46954545454545454,5.300909090909091,0.46954545454545454,5.300909090909091,0.46954545454545454
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.42,0.22,0.02,0.14,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.14,0.0,0.01,0.0,0.01,21.98,0.14,108.86,0.99,,dag,15,22,22,random,LT,0.9990909090909091,0.006363636363636364,108.86,0.99,108.86,0.99,4.948181818181818,0.045,4.948181818181818,0.045,4.948181818181818,0.045
dag_15_nodes_22_edges_degrees_random,Random,0.0,0.0,62.82,25.82,0.89,0.04,0.3,0.16,0.68,0.28,0.11,0.04,0.3,0.16,0.15,0.06,65.04,18.19,115.36,22.78,,dag,15,22,22,random,LT,2.9563636363636365,0.8268181818181819,115.36,22.78,115.36,22.78,5.243636363636363,1.0354545454545454,5.243636363636363,1.0354545454545454,5.243636363636363,1.0354545454545454
dag_15_nodes_22_edges_none_ER,FGS,0.11,0.03,12.0,2.34,0.87,0.07,0.07,0.04,0.13,0.03,0.13,0.07,0.07,0.04,0.09,0.05,29.94,2.49,86.94,7.49,,dag,15,22,22,ER,ER,1.360909090909091,0.11318181818181819,86.94,7.49,86.94,7.49,3.9518181818181817,0.34045454545454545,3.9518181818181817,0.34045454545454545,3.9518181818181817,0.34045454545454545
dag_15_nodes_22_edges_none_ER,NOTEARS-MLP,0.52,0.15,0.02,0.14,0.02,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,75.02,0.14,,dag,15,22,22,ER,ER,1.0,0.0,75.02,0.14,75.02,0.14,3.4099999999999997,0.006363636363636364,3.4099999999999997,0.006363636363636364,3.4099999999999997,0.006363636363636364
dag_15_nodes_22_edges_none_ER,Random,0.0,0.0,62.82,25.82,0.9,0.05,0.28,0.14,0.68,0.28,0.1,0.05,0.28,0.14,0.14,0.06,65.84,18.4,88.78,21.85,,dag,15,22,22,ER,ER,2.9927272727272727,0.8363636363636363,88.78,21.85,88.78,21.85,4.035454545454545,0.9931818181818183,4.035454545454545,0.9931818181818183,4.035454545454545,0.9931818181818183
dag_15_nodes_22_edges_none_SF,FGS,0.11,0.04,8.92,2.09,0.99,0.05,0.01,0.03,0.1,0.02,0.01,0.05,0.01,0.03,0.01,0.04,22.2,2.23,33.24,8.75,,dag,15,22,14,SF,SF,1.5857142857142856,0.15928571428571428,33.24,8.75,33.24,8.75,2.3742857142857146,0.625,2.3742857142857146,0.625,2.3742857142857146,0.625
dag_15_nodes_22_edges_none_SF,NOTEARS-MLP,0.43,0.2,0.14,0.35,0.02,0.14,0.01,0.02,0.0,0.0,0.12,0.33,0.01,0.02,0.02,0.04,13.88,0.33,29.88,0.77,,dag,15,22,14,SF,SF,0.9914285714285714,0.023571428571428573,29.88,0.77,29.88,0.77,2.1342857142857143,0.055,2.1342857142857143,0.055,2.1342857142857143,0.055
dag_15_nodes_22_edges_none_SF,Random,0.0,0.0,62.82,25.82,0.93,0.03,0.32,0.18,0.64,0.26,0.07,0.03,0.32,0.18,0.11,0.04,63.8,20.5,41.42,17.16,,dag,15,22,14,SF,SF,4.557142857142857,1.4642857142857142,41.42,17.16,41.42,17.16,2.9585714285714286,1.2257142857142858,2.9585714285714286,1.2257142857142858,2.9585714285714286,1.2257142857142858
dag_15_nodes_22_edges_none_random,FGS,0.11,0.05,13.32,2.1,0.85,0.08,0.09,0.05,0.14,0.02,0.15,0.08,0.09,0.05,0.11,0.06,30.14,2.5,96.56,11.97,,dag,15,22,22,random,LT,1.37,0.11363636363636363,96.56,11.97,96.56,11.97,4.38909090909091,0.5440909090909091,4.38909090909091,0.5440909090909091,4.38909090909091,0.5440909090909091
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.48,0.16,0.04,0.28,0.02,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.02,0.14,86.18,1.27,,dag,15,22,22,random,LT,1.000909090909091,0.006363636363636364,86.18,1.27,86.18,1.27,3.9172727272727275,0.05772727272727273,3.9172727272727275,0.05772727272727273,3.9172727272727275,0.05772727272727273
dag_15_nodes_22_edges_none_random,Random,0.0,0.0,62.82,25.82,0.89,0.05,0.31,0.18,0.67,0.27,0.11,0.05,0.31,0.18,0.15,0.06,65.18,17.56,97.7,27.62,,dag,15,22,22,random,LT,2.962727272727273,0.7981818181818181,97.7,27.62,97.7,27.62,4.440909090909091,1.2554545454545456,4.440909090909091,1.2554545454545456,4.440909090909091,1.2554545454545456
dag_15_nodes_22_edges_semantics_ER,FGS,0.2,0.05,14.76,2.29,0.88,0.08,0.08,0.06,0.16,0.03,0.12,0.08,0.08,0.06,0.1,0.07,32.18,2.62,131.46,12.72,,dag,15,22,22,ER,ER,1.4627272727272727,0.1190909090909091,131.46,12.72,131.46,12.72,5.975454545454546,0.5781818181818182,5.975454545454546,0.5781818181818182,5.975454545454546,0.5781818181818182
dag_15_nodes_22_edges_semantics_ER,NOTEARS-MLP,2.22,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,128.0,0.0,,dag,15,22,22,ER,ER,1.0,0.0,128.0,0.0,128.0,0.0,5.818181818181818,0.0,5.818181818181818,0.0,5.818181818181818,0.0
dag_15_nodes_22_edges_semantics_ER,Random,0.0,0.0,62.82,25.82,0.9,0.04,0.28,0.14,0.68,0.28,0.1,0.04,0.28,0.14,0.14,0.05,65.48,18.44,110.1,20.76,,dag,15,22,22,ER,ER,2.9763636363636365,0.8381818181818183,110.1,20.76,110.1,20.76,5.004545454545454,0.9436363636363637,5.004545454545454,0.9436363636363637,5.004545454545454,0.9436363636363637
dag_15_nodes_22_edges_semantics_SF,FGS,0.19,0.06,8.9,1.98,0.91,0.08,0.06,0.05,0.09,0.02,0.09,0.08,0.06,0.05,0.07,0.06,20.6,2.03,38.06,15.59,,dag,15,22,14,SF,SF,1.4714285714285715,0.145,38.06,15.59,38.06,15.59,2.718571428571429,1.1135714285714287,2.718571428571429,1.1135714285714287,2.718571428571429,1.1135714285714287
dag_15_nodes_22_edges_semantics_SF,NOTEARS-MLP,1.7,0.86,0.14,0.5,0.04,0.2,0.0,0.02,0.0,0.0,0.06,0.24,0.0,0.02,0.01,0.03,13.94,0.24,30.72,5.12,,dag,15,22,14,SF,SF,0.9957142857142857,0.017142857142857144,30.72,5.12,30.72,5.12,2.1942857142857144,0.3657142857142857,2.1942857142857144,0.3657142857142857,2.1942857142857144,0.3657142857142857
dag_15_nodes_22_edges_semantics_SF,Random,0.0,0.0,62.82,25.82,0.94,0.03,0.3,0.2,0.64,0.26,0.06,0.03,0.3,0.2,0.1,0.05,64.82,20.29,44.92,21.27,,dag,15,22,14,SF,SF,4.63,1.4492857142857143,44.92,21.27,44.92,21.27,3.2085714285714286,1.5192857142857144,3.2085714285714286,1.5192857142857144,3.2085714285714286,1.5192857142857144
dag_15_nodes_22_edges_semantics_random,FGS,0.2,0.07,12.76,2.32,0.91,0.08,0.05,0.05,0.14,0.03,0.09,0.08,0.05,0.05,0.07,0.06,31.6,2.29,101.82,14.88,,dag,15,22,22,random,LT,1.4363636363636365,0.1040909090909091,101.82,14.88,101.82,14.88,4.628181818181818,0.6763636363636364,4.628181818181818,0.6763636363636364,4.628181818181818,0.6763636363636364
dag_15_nodes_22_edges_semantics_random,NOTEARS-MLP,2.23,0.76,0.02,0.14,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.14,0.0,0.01,0.0,0.01,21.98,0.14,84.88,0.85,,dag,15,22,22,random,LT,0.9990909090909091,0.006363636363636364,84.88,0.85,84.88,0.85,3.858181818181818,0.038636363636363635,3.858181818181818,0.038636363636363635,3.858181818181818,0.038636363636363635
dag_15_nodes_22_edges_semantics_random,Random,0.0,0.0,62.82,25.82,0.9,0.04,0.3,0.17,0.68,0.28,0.1,0.04,0.3,0.17,0.15,0.06,65.06,17.64,109.1,25.36,,dag,15,22,22,random,LT,2.9572727272727275,0.8018181818181819,109.1,25.36,109.1,25.36,4.959090909090909,1.1527272727272726,4.959090909090909,1.1527272727272726,4.959090909090909,1.1527272727272726
dag_5_nodes_5_edges_degrees_ER,FGS,0.14,0.05,3.28,1.11,0.88,0.18,0.09,0.14,0.56,0.19,0.12,0.18,0.09,0.14,0.1,0.15,6.76,1.1,16.54,1.82,,dag,5,5,5,ER,ER,1.3519999999999999,0.22000000000000003,16.54,1.82,16.54,1.82,3.308,0.364,3.308,0.364,3.308,0.364
dag_5_nodes_5_edges_degrees_ER,NOTEARS-MLP,0.28,0.11,0.04,0.2,0.04,0.2,0.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,15.06,0.42,,dag,5,5,5,ER,ER,1.0,0.0,15.06,0.42,15.06,0.42,3.012,0.08399999999999999,3.012,0.08399999999999999,3.012,0.08399999999999999
dag_5_nodes_5_edges_degrees_ER,Random,0.0,0.0,7.72,1.8,0.75,0.14,0.38,0.22,1.16,0.37,0.25,0.14,0.38,0.22,0.3,0.17,6.98,1.44,11.04,4.46,,dag,5,5,5,ER,ER,1.3960000000000001,0.288,11.04,4.46,11.04,4.46,2.2079999999999997,0.892,2.2079999999999997,0.892,2.2079999999999997,0.892
dag_5_nodes_5_edges_degrees_SF,FGS,0.14,0.07,2.28,0.98,0.31,0.29,0.35,0.17,0.14,0.15,0.64,0.33,0.35,0.17,0.41,0.21,3.26,1.14,6.24,2.86,,dag,5,5,4,SF,SF,0.815,0.285,6.24,2.86,6.24,2.86,1.56,0.715,1.56,0.715,1.56,0.715
dag_5_nodes_5_edges_degrees_SF,NOTEARS-MLP,0.26,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,,dag,5,5,4,SF,SF,1.0,0.0,10.0,0.0,10.0,0.0,2.5,0.0,2.5,0.0,2.5,0.0
dag_5_nodes_5_edges_degrees_SF,Random,0.0,0.0,7.72,1.8,0.8,0.11,0.38,0.21,1.03,0.3,0.2,0.11,0.38,0.21,0.26,0.14,6.92,1.5,11.22,4.45,,dag,5,5,4,SF,SF,1.73,0.375,11.22,4.45,11.22,4.45,2.805,1.1125,2.805,1.1125,2.805,1.1125
dag_5_nodes_5_edges_degrees_random,FGS,0.14,0.04,3.24,1.32,0.98,0.07,0.02,0.05,0.63,0.25,0.02,0.07,0.02,0.05,0.02,0.06,7.14,0.86,8.92,2.86,,dag,5,5,5,random,LT,1.428,0.172,8.92,2.86,8.92,2.86,1.784,0.572,1.784,0.572,1.784,0.572
dag_5_nodes_5_edges_degrees_random,NOTEARS-MLP,0.31,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,,dag,5,5,5,random,LT,1.0,0.0,9.0,0.0,9.0,0.0,1.8,0.0,1.8,0.0,1.8,0.0
dag_5_nodes_5_edges_degrees_random,Random,0.0,0.0,7.72,1.8,0.75,0.14,0.4,0.25,1.14,0.3,0.25,0.14,0.4,0.25,0.31,0.18,6.96,1.41,10.44,4.19,,dag,5,5,5,random,LT,1.392,0.282,10.44,4.19,10.44,4.19,2.088,0.8380000000000001,2.088,0.8380000000000001,2.088,0.8380000000000001
dag_5_nodes_5_edges_none_ER,FGS,0.14,0.05,3.5,1.04,0.86,0.16,0.1,0.12,0.6,0.18,0.14,0.16,0.1,0.12,0.12,0.13,6.72,0.93,10.32,1.45,,dag,5,5,5,ER,ER,1.3439999999999999,0.186,10.32,1.45,10.32,1.45,2.064,0.29,2.064,0.29,2.064,0.29
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.25,0.1,0.02,0.14,0.02,0.14,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.04,0.28,,dag,5,5,5,ER,ER,1.0,0.0,11.04,0.28,11.04,0.28,2.2079999999999997,0.05600000000000001,2.2079999999999997,0.05600000000000001,2.2079999999999997,0.05600000000000001
dag_5_nodes_5_edges_none_ER,Random,0.0,0.0,7.72,1.8,0.75,0.16,0.4,0.26,1.15,0.33,0.25,0.16,0.4,0.26,0.3,0.19,6.66,1.6,10.64,4.52,,dag,5,5,5,ER,ER,1.332,0.32,10.64,4.52,10.64,4.52,2.128,0.9039999999999999,2.128,0.9039999999999999,2.128,0.9039999999999999
dag_5_nodes_5_edges_none_SF,FGS,0.14,0.08,2.39,0.86,0.43,0.29,0.3,0.1,0.2,0.17,0.56,0.3,0.3,0.1,0.37,0.15,3.49,0.92,5.65,2.55,,dag,5,5,4,SF,SF,0.8725,0.23,5.65,2.55,5.65,2.55,1.4125,0.6375,1.4125,0.6375,1.4125,0.6375
dag_5_nodes_5_edges_none_SF,NOTEARS-MLP,0.32,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,,dag,5,5,4,SF,SF,1.0,0.0,5.0,0.0,5.0,0.0,1.25,0.0,1.25,0.0,1.25,0.0
dag_5_nodes_5_edges_none_SF,Random,0.0,0.0,7.72,1.8,0.8,0.14,0.38,0.29,1.03,0.3,0.2,0.14,0.38,0.29,0.26,0.18,7.1,1.5,6.72,4.43,,dag,5,5,4,SF,SF,1.775,0.375,6.72,4.43,6.72,4.43,1.68,1.1075,1.68,1.1075,1.68,1.1075
dag_5_nodes_5_edges_none_random,FGS,0.14,0.05,3.57,1.21,0.77,0.19,0.16,0.14,0.56,0.25,0.22,0.2,0.16,0.14,0.18,0.16,5.16,1.36,13.98,2.55,,dag,5,5,5,random,LT,1.032,0.272,13.98,2.55,13.98,2.55,2.7960000000000003,0.51,2.7960000000000003,0.51,2.7960000000000003,0.51
dag_5_nodes_5_edges_none_random,NOTEARS-MLP,0.29,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,0.0,,dag,5,5,5,random,LT,1.0,0.0,12.0,0.0,12.0,0.0,2.4,0.0,2.4,0.0,2.4,0.0
dag_5_nodes_5_edges_none_random,Random,0.0,0.0,7.72,1.8,0.73,0.12,0.4,0.17,1.14,0.34,0.27,0.12,0.4,0.17,0.32,0.13,6.88,1.22,12.14,4.76,,dag,5,5,5,random,LT,1.376,0.244,12.14,4.76,12.14,4.76,2.428,0.952,2.428,0.952,2.428,0.952
dag_5_nodes_5_edges_semantics_ER,FGS,0.15,0.1,3.08,1.03,0.73,0.22,0.21,0.19,0.41,0.08,0.27,0.22,0.21,0.19,0.23,0.2,5.84,0.89,6.82,1.47,,dag,5,5,5,ER,ER,1.168,0.178,6.82,1.47,6.82,1.47,1.364,0.294,1.364,0.294,1.364,0.294
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.36,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,,dag,5,5,5,ER,ER,1.0,0.0,8.0,0.0,8.0,0.0,1.6,0.0,1.6,0.0,1.6,0.0
dag_5_nodes_5_edges_semantics_ER,Random,0.0,0.0,7.72,1.8,0.76,0.16,0.38,0.27,1.17,0.35,0.24,0.16,0.38,0.27,0.29,0.2,7.12,1.56,7.64,4.13,,dag,5,5,5,ER,ER,1.424,0.312,7.64,4.13,7.64,4.13,1.528,0.826,1.528,0.826,1.528,0.826
dag_5_nodes_5_edges_semantics_SF,FGS,0.14,0.06,2.43,1.04,0.83,0.19,0.13,0.14,0.32,0.12,0.16,0.19,0.13,0.14,0.13,0.15,3.81,0.77,9.74,2.86,,dag,5,5,4,SF,SF,0.9525,0.1925,9.74,2.86,9.74,2.86,2.435,0.715,2.435,0.715,2.435,0.715
dag_5_nodes_5_edges_semantics_SF,NOTEARS-MLP,0.28,0.08,0.02,0.14,0.02,0.14,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.04,0.28,,dag,5,5,4,SF,SF,1.0,0.0,7.04,0.28,7.04,0.28,1.76,0.07,1.76,0.07,1.76,0.07
dag_5_nodes_5_edges_semantics_SF,Random,0.0,0.0,7.72,1.8,0.81,0.12,0.36,0.24,1.04,0.28,0.19,0.12,0.36,0.24,0.24,0.16,7.42,1.44,8.28,3.69,,dag,5,5,4,SF,SF,1.855,0.36,8.28,3.69,8.28,3.69,2.07,0.9225,2.07,0.9225,2.07,0.9225
dag_5_nodes_5_edges_semantics_random,FGS,0.08,0.05,3.42,1.14,0.26,0.28,0.48,0.21,0.2,0.23,0.74,0.28,0.48,0.21,0.57,0.22,3.26,1.74,4.68,2.44,,dag,5,5,5,random,LT,0.6519999999999999,0.348,4.68,2.44,4.68,2.44,0.9359999999999999,0.488,0.9359999999999999,0.488,0.9359999999999999,0.488
dag_5_nodes_5_edges_semantics_random,NOTEARS-MLP,0.13,0.04,0.04,0.2,0.04,0.2,0.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.12,0.59,,dag,5,5,5,random,LT,1.0,0.0,9.12,0.59,9.12,0.59,1.8239999999999998,0.118,1.8239999999999998,0.118,1.8239999999999998,0.118
dag_5_nodes_5_edges_semantics_random,Random,0.0,0.0,7.72,1.8,0.73,0.14,0.4,0.23,1.14,0.34,0.27,0.14,0.4,0.23,0.32,0.16,6.64,1.47,10.16,3.87,,dag,5,5,5,random,LT,1.3279999999999998,0.294,10.16,3.87,10.16,3.87,2.032,0.774,2.032,0.774,2.032,0.774
dag_5_nodes_7_edges_degrees_ER,FGS,0.08,0.05,4.34,1.0,0.6,0.21,0.24,0.12,0.89,0.39,0.4,0.21,0.24,0.12,0.3,0.14,6.96,1.09,12.92,3.55,,dag,5,7,7,ER,ER,0.9942857142857143,0.15571428571428572,12.92,3.55,12.92,3.55,1.8457142857142856,0.5071428571428571,1.8457142857142856,0.5071428571428571,1.8457142857142856,0.5071428571428571
dag_5_nodes_7_edges_degrees_ER,NOTEARS-MLP,0.13,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,16.0,0.0,,dag,5,7,7,ER,ER,1.0,0.0,16.0,0.0,16.0,0.0,2.2857142857142856,0.0,2.2857142857142856,0.0,2.2857142857142856,0.0
dag_5_nodes_7_edges_degrees_ER,Random,0.0,0.0,7.72,1.8,0.63,0.18,0.41,0.21,1.62,0.58,0.37,0.18,0.41,0.21,0.38,0.18,6.44,1.58,12.68,3.62,,dag,5,7,7,ER,ER,0.92,0.22571428571428573,12.68,3.62,12.68,3.62,1.8114285714285714,0.5171428571428571,1.8114285714285714,0.5171428571428571,1.8114285714285714,0.5171428571428571
dag_5_nodes_7_edges_degrees_SF,FGS,0.08,0.05,2.59,1.04,0.9,0.17,0.07,0.12,0.38,0.16,0.09,0.17,0.07,0.12,0.08,0.14,5.57,0.91,6.43,1.62,,dag,5,7,4,SF,SF,1.3925,0.2275,6.43,1.62,6.43,1.62,1.6075,0.405,1.6075,0.405,1.6075,0.405
