dataset,model,elapsed_mean,elapsed_std,nnz_mean,nnz_std,fdr_mean,fdr_std,tpr_mean,tpr_std,fpr_mean,fpr_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,shd_mean,shd_std,SID_low_mean,SID_low_std,SID_high_mean,SID_high_std,source_kind,graph_kind,n_nodes,filename_n_edges,n_edges,graph_type,graph_type_label,NSHD_mean,NSHD_std,SID_mean,SID_std,NSID_mean,NSID_std,NSID_low_mean,NSID_low_std,NSID_high_mean,NSID_high_std
dag_15_nodes_15_edges_none_SF,Random,0.0,0.0,62.82,25.82,0.92,0.04,0.38,0.24,0.63,0.26,0.06,0.04,0.25,0.15,0.09,0.05,66.34,21.35,35.08,17.85,76.46,37.45,,cpdag,15,15,14,SF,SF,4.738571428571428,1.5250000000000001,76.46,37.45,5.461428571428571,2.6750000000000003,2.505714285714286,1.2750000000000001,5.461428571428571,2.6750000000000003
dag_15_nodes_15_edges_none_random,FGS,0.11,0.03,10.08,2.15,0.84,0.07,0.1,0.05,0.09,0.02,0.15,0.07,0.1,0.05,0.11,0.05,22.02,2.1,47.62,7.08,77.86,9.17,,cpdag,15,15,15,random,LT,1.468,0.14,77.86,9.17,5.190666666666667,0.6113333333333333,3.1746666666666665,0.47200000000000003,5.190666666666667,0.6113333333333333
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.4,0.14,0.04,0.2,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.2,0.0,0.01,0.0,0.02,14.96,0.2,59.74,1.29,60.1,0.51,,cpdag,15,15,15,random,LT,0.9973333333333334,0.013333333333333334,60.1,0.51,4.006666666666667,0.034,3.982666666666667,0.08600000000000001,4.006666666666667,0.034
dag_15_nodes_15_edges_none_random,Random,0.0,0.0,62.82,25.82,0.91,0.03,0.39,0.22,0.63,0.26,0.08,0.03,0.31,0.17,0.12,0.05,65.66,21.31,45.28,18.36,86.56,32.12,,cpdag,15,15,15,random,LT,4.3773333333333335,1.4206666666666665,86.56,32.12,5.770666666666667,2.1413333333333333,3.018666666666667,1.224,5.770666666666667,2.1413333333333333
dag_15_nodes_15_edges_semantics_ER,FGS,0.11,0.04,8.74,2.08,0.8,0.13,0.11,0.07,0.08,0.02,0.13,0.09,0.08,0.06,0.1,0.07,21.3,2.1,30.32,5.01,39.8,3.6,,cpdag,15,15,15,ER,ER,1.4200000000000002,0.14,39.8,3.6,2.6533333333333333,0.24000000000000002,2.021333333333333,0.33399999999999996,2.6533333333333333,0.24000000000000002
dag_15_nodes_15_edges_semantics_ER,NOTEARS-MLP,0.49,0.18,0.02,0.14,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.14,0.0,0.01,0.0,0.02,14.98,0.14,34.92,0.57,35.02,0.14,,cpdag,15,15,15,ER,ER,0.9986666666666667,0.009333333333333334,35.02,0.14,2.3346666666666667,0.009333333333333334,2.3280000000000003,0.038,2.3346666666666667,0.009333333333333334
dag_15_nodes_15_edges_semantics_ER,Random,0.0,0.0,62.82,25.82,0.91,0.03,0.4,0.25,0.63,0.25,0.07,0.03,0.32,0.19,0.12,0.05,65.24,20.91,27.64,12.27,52.64,23.54,,cpdag,15,15,15,ER,ER,4.349333333333333,1.394,52.64,23.54,3.509333333333333,1.5693333333333332,1.8426666666666667,0.818,3.509333333333333,1.5693333333333332
dag_15_nodes_15_edges_semantics_SF,FGS,0.11,0.04,7.04,2.06,0.84,0.11,0.08,0.06,0.07,0.02,0.07,0.1,0.04,0.06,0.05,0.07,19.06,1.65,35.56,8.88,48.34,9.28,,cpdag,15,15,14,SF,SF,1.3614285714285714,0.11785714285714285,48.34,9.28,3.4528571428571433,0.6628571428571428,2.54,0.6342857142857143,3.4528571428571433,0.6628571428571428
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.39,0.18,0.02,0.14,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.14,0.0,0.01,0.0,0.02,13.98,0.14,31.9,0.71,32.04,0.28,,cpdag,15,15,14,SF,SF,0.9985714285714286,0.01,32.04,0.28,2.2885714285714287,0.02,2.2785714285714285,0.05071428571428571,2.2885714285714287,0.02
dag_15_nodes_15_edges_semantics_SF,Random,0.0,0.0,62.82,25.82,0.92,0.04,0.38,0.25,0.63,0.25,0.06,0.03,0.27,0.17,0.09,0.05,66.04,21.32,35.44,15.32,75.02,35.26,,cpdag,15,15,14,SF,SF,4.717142857142858,1.522857142857143,75.02,35.26,5.3585714285714285,2.5185714285714282,2.531428571428571,1.0942857142857143,5.3585714285714285,2.5185714285714282
dag_15_nodes_15_edges_semantics_random,FGS,0.13,0.07,9.96,1.99,0.88,0.09,0.08,0.06,0.1,0.02,0.1,0.08,0.07,0.05,0.08,0.06,23.08,2.17,65.46,10.6,89.44,14.75,,cpdag,15,15,15,random,LT,1.5386666666666666,0.14466666666666667,89.44,14.75,5.962666666666666,0.9833333333333333,4.364,0.7066666666666667,5.962666666666666,0.9833333333333333
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,1.86,0.75,0.08,0.34,0.0,0.0,0.01,0.02,0.0,0.0,0.06,0.24,0.01,0.02,0.01,0.04,14.96,0.2,68.28,3.09,69.26,1.16,,cpdag,15,15,15,random,LT,0.9973333333333334,0.013333333333333334,69.26,1.16,4.617333333333334,0.07733333333333332,4.5520000000000005,0.206,4.617333333333334,0.07733333333333332
dag_15_nodes_15_edges_semantics_random,Random,0.0,0.0,62.82,25.82,0.9,0.03,0.41,0.21,0.63,0.26,0.09,0.03,0.36,0.18,0.14,0.04,65.16,21.52,65.6,23.92,113.44,27.33,,cpdag,15,15,15,random,LT,4.343999999999999,1.4346666666666665,113.44,27.33,7.562666666666667,1.8219999999999998,4.373333333333333,1.5946666666666667,7.562666666666667,1.8219999999999998
dag_15_nodes_22_edges_degrees_ER,FGS,0.21,0.06,13.72,2.56,0.84,0.08,0.1,0.05,0.14,0.03,0.08,0.07,0.05,0.04,0.06,0.05,31.88,2.71,102.14,12.26,120.42,13.69,,cpdag,15,22,22,ER,ER,1.449090909090909,0.12318181818181818,120.42,13.69,5.473636363636364,0.6222727272727272,4.642727272727273,0.5572727272727273,5.473636363636364,0.6222727272727272
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,2.31,0.79,0.12,0.33,0.0,0.0,0.01,0.01,0.0,0.0,0.1,0.3,0.0,0.01,0.01,0.03,21.9,0.3,98.3,1.92,99.32,1.22,,cpdag,15,22,22,ER,ER,0.9954545454545454,0.013636363636363636,99.32,1.22,4.514545454545455,0.05545454545454545,4.468181818181818,0.08727272727272727,4.514545454545455,0.05545454545454545
dag_15_nodes_22_edges_degrees_ER,Random,0.0,0.0,62.82,25.82,0.87,0.05,0.38,0.24,0.66,0.26,0.09,0.05,0.27,0.17,0.14,0.07,66.96,18.67,77.22,28.88,118.54,24.55,,cpdag,15,22,22,ER,ER,3.0436363636363635,0.8486363636363637,118.54,24.55,5.388181818181819,1.115909090909091,3.51,1.3127272727272727,5.388181818181819,1.115909090909091
dag_15_nodes_22_edges_degrees_SF,FGS,0.11,0.03,9.28,1.65,0.88,0.08,0.08,0.05,0.09,0.02,0.04,0.06,0.02,0.04,0.03,0.04,21.24,1.66,34.92,8.61,48.82,8.3,,cpdag,15,22,14,SF,SF,1.5171428571428571,0.11857142857142856,48.82,8.3,3.487142857142857,0.5928571428571429,2.494285714285714,0.615,3.487142857142857,0.5928571428571429
dag_15_nodes_22_edges_degrees_SF,NOTEARS-MLP,0.65,0.53,0.1,0.58,0.02,0.14,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,14.06,0.42,31.48,3.69,31.78,4.08,,cpdag,15,22,14,SF,SF,1.0042857142857142,0.03,31.78,4.08,2.27,0.2914285714285714,2.2485714285714287,0.26357142857142857,2.27,0.2914285714285714
dag_15_nodes_22_edges_degrees_SF,Random,0.0,0.0,62.82,25.82,0.92,0.04,0.38,0.22,0.63,0.26,0.06,0.04,0.25,0.15,0.09,0.05,65.42,22.37,39.94,18.17,81.54,36.19,,cpdag,15,22,14,SF,SF,4.672857142857143,1.5978571428571429,81.54,36.19,5.824285714285715,2.585,2.8528571428571428,1.297857142857143,5.824285714285715,2.585
dag_15_nodes_22_edges_degrees_random,FGS,0.11,0.03,15.54,2.22,0.87,0.08,0.09,0.05,0.16,0.03,0.09,0.06,0.06,0.04,0.07,0.05,32.48,2.21,109.98,9.33,122.76,13.45,,cpdag,15,22,22,random,LT,1.4763636363636363,0.10045454545454545,122.76,13.45,5.58,0.6113636363636363,4.999090909090909,0.4240909090909091,5.58,0.6113636363636363
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.42,0.22,0.02,0.14,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.98,0.14,108.86,0.99,109.04,0.28,,cpdag,15,22,22,random,LT,0.9990909090909091,0.006363636363636364,109.04,0.28,4.956363636363637,0.012727272727272728,4.948181818181818,0.045,4.956363636363637,0.012727272727272728
dag_15_nodes_22_edges_degrees_random,Random,0.0,0.0,62.82,25.82,0.87,0.05,0.39,0.22,0.65,0.26,0.11,0.05,0.3,0.15,0.15,0.06,66.94,19.14,89.7,30.56,138.94,18.81,,cpdag,15,22,22,random,LT,3.0427272727272725,0.87,138.94,18.81,6.315454545454545,0.855,4.077272727272727,1.389090909090909,6.315454545454545,0.855
dag_15_nodes_22_edges_none_ER,FGS,0.11,0.03,12.0,2.34,0.84,0.09,0.09,0.05,0.12,0.03,0.12,0.07,0.06,0.04,0.08,0.05,30.58,2.54,78.4,8.93,97.08,9.11,,cpdag,15,22,22,ER,ER,1.39,0.11545454545454546,97.08,9.11,4.412727272727273,0.41409090909090907,3.563636363636364,0.4059090909090909,4.412727272727273,0.41409090909090907
dag_15_nodes_22_edges_none_ER,NOTEARS-MLP,0.52,0.15,0.02,0.14,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.98,0.14,74.92,0.57,75.02,0.14,,cpdag,15,22,22,ER,ER,0.9990909090909091,0.006363636363636364,75.02,0.14,3.4099999999999997,0.006363636363636364,3.4054545454545457,0.025909090909090906,3.4099999999999997,0.006363636363636364
dag_15_nodes_22_edges_none_ER,Random,0.0,0.0,62.82,25.82,0.87,0.05,0.38,0.21,0.66,0.27,0.1,0.05,0.27,0.13,0.14,0.06,67.92,19.46,70.52,25.65,114.08,28.9,,cpdag,15,22,22,ER,ER,3.0872727272727274,0.8845454545454546,114.08,28.9,5.1854545454545455,1.3136363636363635,3.205454545454545,1.1659090909090908,5.1854545454545455,1.3136363636363635
dag_15_nodes_22_edges_none_SF,FGS,0.11,0.04,8.92,2.09,0.96,0.07,0.03,0.04,0.09,0.02,0.02,0.05,0.01,0.03,0.01,0.04,22.08,2.28,27.94,4.35,40.22,8.42,,cpdag,15,22,14,SF,SF,1.577142857142857,0.16285714285714284,40.22,8.42,2.8728571428571428,0.6014285714285714,1.9957142857142858,0.31071428571428567,2.8728571428571428,0.6014285714285714
dag_15_nodes_22_edges_none_SF,NOTEARS-MLP,0.43,0.2,0.14,0.35,0.0,0.0,0.01,0.03,0.0,0.0,0.12,0.33,0.01,0.02,0.02,0.04,13.86,0.35,29.8,0.64,30.38,0.99,,cpdag,15,22,14,SF,SF,0.99,0.024999999999999998,30.38,0.99,2.17,0.07071428571428572,2.1285714285714286,0.045714285714285714,2.17,0.07071428571428572
dag_15_nodes_22_edges_none_SF,Random,0.0,0.0,62.82,25.82,0.91,0.04,0.4,0.25,0.63,0.25,0.08,0.03,0.35,0.21,0.12,0.05,65.38,21.29,31.88,15.31,65.14,35.39,,cpdag,15,22,14,SF,SF,4.67,1.5207142857142857,65.14,35.39,4.652857142857143,2.527857142857143,2.277142857142857,1.0935714285714286,4.652857142857143,2.527857142857143
dag_15_nodes_22_edges_none_random,FGS,0.11,0.05,13.32,2.1,0.82,0.08,0.11,0.05,0.13,0.02,0.15,0.08,0.09,0.05,0.11,0.06,30.84,2.53,91.12,11.99,110.46,13.97,,cpdag,15,22,22,random,LT,1.4018181818181819,0.11499999999999999,110.46,13.97,5.0209090909090905,0.635,4.141818181818182,0.545,5.0209090909090905,0.635
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.48,0.16,0.04,0.28,0.01,0.07,0.0,0.01,0.0,0.0,0.01,0.07,0.0,0.01,0.0,0.01,22.02,0.14,85.96,0.28,86.18,1.27,,cpdag,15,22,22,random,LT,1.000909090909091,0.006363636363636364,86.18,1.27,3.9172727272727275,0.05772727272727273,3.907272727272727,0.012727272727272728,3.9172727272727275,0.05772727272727273
dag_15_nodes_22_edges_none_random,Random,0.0,0.0,62.82,25.82,0.87,0.06,0.39,0.23,0.65,0.26,0.1,0.04,0.3,0.16,0.15,0.06,67.28,18.7,77.02,29.16,123.72,27.34,,cpdag,15,22,22,random,LT,3.058181818181818,0.85,123.72,27.34,5.623636363636364,1.2427272727272727,3.5009090909090905,1.3254545454545454,5.623636363636364,1.2427272727272727
dag_15_nodes_22_edges_semantics_ER,FGS,0.2,0.05,14.76,2.29,0.87,0.08,0.09,0.06,0.15,0.03,0.11,0.08,0.08,0.06,0.09,0.07,33.12,2.34,125.64,13.28,144.02,12.59,,cpdag,15,22,22,ER,ER,1.5054545454545454,0.10636363636363635,144.02,12.59,6.546363636363637,0.5722727272727273,5.710909090909091,0.6036363636363636,6.546363636363637,0.5722727272727273
dag_15_nodes_22_edges_semantics_ER,NOTEARS-MLP,2.22,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,128.0,0.0,128.0,0.0,,cpdag,15,22,22,ER,ER,1.0,0.0,128.0,0.0,5.818181818181818,0.0,5.818181818181818,0.0,5.818181818181818,0.0
dag_15_nodes_22_edges_semantics_ER,Random,0.0,0.0,62.82,25.82,0.87,0.04,0.37,0.21,0.66,0.27,0.11,0.04,0.32,0.17,0.16,0.06,67.26,19.03,89.0,30.05,134.64,19.84,,cpdag,15,22,22,ER,ER,3.0572727272727276,0.8650000000000001,134.64,19.84,6.119999999999999,0.9018181818181819,4.045454545454546,1.365909090909091,6.119999999999999,0.9018181818181819
dag_15_nodes_22_edges_semantics_SF,FGS,0.19,0.06,8.9,1.98,0.84,0.08,0.1,0.05,0.08,0.02,0.09,0.08,0.06,0.05,0.07,0.06,20.9,1.96,30.4,9.75,49.46,12.34,,cpdag,15,22,14,SF,SF,1.4928571428571427,0.13999999999999999,49.46,12.34,3.532857142857143,0.8814285714285715,2.1714285714285713,0.6964285714285714,3.532857142857143,0.8814285714285715
dag_15_nodes_22_edges_semantics_SF,NOTEARS-MLP,1.7,0.86,0.14,0.5,0.0,0.0,0.01,0.04,0.0,0.0,0.02,0.14,0.0,0.03,0.01,0.05,13.92,0.27,30.34,2.99,30.96,5.12,,cpdag,15,22,14,SF,SF,0.9942857142857143,0.019285714285714288,30.96,5.12,2.2114285714285713,0.3657142857142857,2.1671428571428573,0.21357142857142858,2.2114285714285713,0.3657142857142857
dag_15_nodes_22_edges_semantics_SF,Random,0.0,0.0,62.82,25.82,0.92,0.04,0.37,0.24,0.63,0.25,0.06,0.03,0.26,0.17,0.09,0.04,66.3,21.34,35.2,17.62,67.86,32.31,,cpdag,15,22,14,SF,SF,4.735714285714286,1.5242857142857142,67.86,32.31,4.847142857142857,2.307857142857143,2.5142857142857147,1.2585714285714287,4.847142857142857,2.307857142857143
dag_15_nodes_22_edges_semantics_random,FGS,0.2,0.07,12.76,2.32,0.87,0.08,0.07,0.05,0.13,0.03,0.09,0.08,0.05,0.05,0.07,0.06,31.88,2.18,91.14,13.07,120.08,17.17,,cpdag,15,22,22,random,LT,1.449090909090909,0.0990909090909091,120.08,17.17,5.458181818181818,0.7804545454545455,4.142727272727273,0.5940909090909091,5.458181818181818,0.7804545454545455
dag_15_nodes_22_edges_semantics_random,NOTEARS-MLP,2.23,0.76,0.02,0.14,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.14,0.0,0.01,0.0,0.01,21.98,0.14,84.88,0.85,85.02,0.14,,cpdag,15,22,22,random,LT,0.9990909090909091,0.006363636363636364,85.02,0.14,3.8645454545454543,0.006363636363636364,3.858181818181818,0.038636363636363635,3.8645454545454543,0.006363636363636364
dag_15_nodes_22_edges_semantics_random,Random,0.0,0.0,62.82,25.82,0.87,0.05,0.38,0.23,0.66,0.26,0.1,0.05,0.28,0.15,0.14,0.06,67.04,18.51,83.84,28.95,131.22,28.06,,cpdag,15,22,22,random,LT,3.0472727272727274,0.8413636363636364,131.22,28.06,5.964545454545455,1.2754545454545454,3.810909090909091,1.315909090909091,5.964545454545455,1.2754545454545454
dag_5_nodes_5_edges_degrees_ER,FGS,0.14,0.05,3.28,1.11,0.86,0.21,0.11,0.17,0.54,0.2,0.12,0.18,0.09,0.14,0.1,0.15,6.86,1.09,11.44,3.57,16.94,1.43,,cpdag,5,5,5,ER,ER,1.372,0.21800000000000003,16.94,1.43,3.3880000000000003,0.286,2.288,0.714,3.3880000000000003,0.286
dag_5_nodes_5_edges_degrees_ER,NOTEARS-MLP,0.28,0.11,0.04,0.2,0.0,0.0,0.01,0.04,0.0,0.0,0.04,0.2,0.01,0.04,0.01,0.07,4.98,0.14,14.92,0.44,15.06,0.42,,cpdag,5,5,5,ER,ER,0.9960000000000001,0.028000000000000004,15.06,0.42,3.012,0.08399999999999999,2.984,0.088,3.012,0.08399999999999999
dag_5_nodes_5_edges_degrees_ER,Random,0.0,0.0,7.72,1.8,0.55,0.11,0.7,0.23,0.84,0.24,0.37,0.1,0.58,0.2,0.45,0.12,6.78,1.36,4.2,3.51,15.86,2.71,,cpdag,5,5,5,ER,ER,1.356,0.272,15.86,2.71,3.1719999999999997,0.542,0.8400000000000001,0.702,3.1719999999999997,0.542
dag_5_nodes_5_edges_degrees_SF,FGS,0.14,0.07,2.28,0.98,0.31,0.29,0.35,0.17,0.14,0.15,0.64,0.33,0.35,0.17,0.41,0.21,3.26,1.14,5.37,2.27,12.76,3.23,,cpdag,5,5,4,SF,SF,0.815,0.285,12.76,3.23,3.19,0.8075,1.3425,0.5675,3.19,0.8075
dag_5_nodes_5_edges_degrees_SF,NOTEARS-MLP,0.26,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,10.0,0.0,,cpdag,5,5,4,SF,SF,1.0,0.0,10.0,0.0,2.5,0.0,2.5,0.0,2.5,0.0
dag_5_nodes_5_edges_degrees_SF,Random,0.0,0.0,7.72,1.8,0.63,0.1,0.7,0.23,0.82,0.22,0.29,0.08,0.56,0.17,0.38,0.1,5.94,1.27,4.48,3.97,17.62,2.51,,cpdag,5,5,4,SF,SF,1.485,0.3175,17.62,2.51,4.405,0.6275,1.12,0.9925,4.405,0.6275
dag_5_nodes_5_edges_degrees_random,FGS,0.14,0.04,3.24,1.32,0.81,0.19,0.14,0.17,0.5,0.21,0.02,0.07,0.02,0.05,0.02,0.06,6.76,1.12,6.78,1.88,14.66,3.86,,cpdag,5,5,5,random,LT,1.3519999999999999,0.22400000000000003,14.66,3.86,2.932,0.772,1.356,0.376,2.932,0.772
dag_5_nodes_5_edges_degrees_random,NOTEARS-MLP,0.31,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,9.0,0.0,,cpdag,5,5,5,random,LT,1.0,0.0,9.0,0.0,1.8,0.0,1.8,0.0,1.8,0.0
dag_5_nodes_5_edges_degrees_random,Random,0.0,0.0,7.72,1.8,0.58,0.14,0.66,0.27,0.88,0.24,0.13,0.09,0.2,0.12,0.16,0.1,7.2,1.18,4.44,3.58,16.22,2.52,,cpdag,5,5,5,random,LT,1.44,0.236,16.22,2.52,3.2439999999999998,0.504,0.8880000000000001,0.716,3.2439999999999998,0.504
dag_5_nodes_5_edges_none_ER,FGS,0.14,0.05,3.5,1.04,0.77,0.22,0.16,0.17,0.54,0.2,0.14,0.16,0.1,0.12,0.12,0.13,6.72,0.93,8.82,2.71,14.16,2.57,,cpdag,5,5,5,ER,ER,1.3439999999999999,0.186,14.16,2.57,2.832,0.514,1.764,0.542,2.832,0.514
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.25,0.1,0.02,0.14,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,0.14,10.94,0.42,11.04,0.28,,cpdag,5,5,5,ER,ER,0.9960000000000001,0.028000000000000004,11.04,0.28,2.2079999999999997,0.05600000000000001,2.1879999999999997,0.08399999999999999,2.2079999999999997,0.05600000000000001
dag_5_nodes_5_edges_none_ER,Random,0.0,0.0,7.72,1.8,0.55,0.15,0.7,0.28,0.84,0.28,0.13,0.1,0.2,0.14,0.15,0.11,7.66,1.38,4.5,4.05,16.3,1.87,,cpdag,5,5,5,ER,ER,1.532,0.27599999999999997,16.3,1.87,3.2600000000000002,0.374,0.9,0.8099999999999999,3.2600000000000002,0.374
dag_5_nodes_5_edges_none_SF,FGS,0.14,0.08,2.39,0.86,0.32,0.29,0.37,0.14,0.15,0.15,0.56,0.3,0.3,0.1,0.37,0.15,4.33,1.21,5.65,2.55,9.9,3.86,,cpdag,5,5,4,SF,SF,1.0825,0.3025,9.9,3.86,2.475,0.965,1.4125,0.6375,2.475,0.965
dag_5_nodes_5_edges_none_SF,NOTEARS-MLP,0.32,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,5.0,0.0,,cpdag,5,5,4,SF,SF,1.0,0.0,5.0,0.0,1.25,0.0,1.25,0.0,1.25,0.0
dag_5_nodes_5_edges_none_SF,Random,0.0,0.0,7.72,1.8,0.66,0.12,0.68,0.29,0.84,0.21,0.2,0.09,0.38,0.19,0.26,0.11,7.82,1.17,2.74,3.14,12.52,3.02,,cpdag,5,5,4,SF,SF,1.955,0.2925,12.52,3.02,3.13,0.755,0.685,0.785,3.13,0.755
dag_5_nodes_5_edges_none_random,FGS,0.14,0.05,3.57,1.21,0.35,0.26,0.44,0.18,0.28,0.22,0.22,0.2,0.16,0.14,0.18,0.16,5.08,1.3,7.45,2.24,15.67,2.24,,cpdag,5,5,5,random,LT,1.016,0.26,15.67,2.24,3.134,0.44800000000000006,1.49,0.44800000000000006,3.134,0.44800000000000006
dag_5_nodes_5_edges_none_random,NOTEARS-MLP,0.29,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,0.0,12.0,0.0,,cpdag,5,5,5,random,LT,1.0,0.0,12.0,0.0,2.4,0.0,2.4,0.0,2.4,0.0
dag_5_nodes_5_edges_none_random,Random,0.0,0.0,7.72,1.8,0.55,0.1,0.7,0.21,0.85,0.25,0.23,0.11,0.34,0.15,0.27,0.12,6.84,1.06,5.22,4.36,17.86,3.34,,cpdag,5,5,5,random,LT,1.3679999999999999,0.21200000000000002,17.86,3.34,3.572,0.6679999999999999,1.044,0.8720000000000001,3.572,0.6679999999999999
dag_5_nodes_5_edges_semantics_ER,FGS,0.15,0.1,3.08,1.03,0.68,0.21,0.23,0.18,0.39,0.08,0.27,0.22,0.21,0.19,0.23,0.2,6.1,1.07,6.52,1.28,8.24,2.53,,cpdag,5,5,5,ER,ER,1.22,0.21400000000000002,8.24,2.53,1.6480000000000001,0.506,1.3039999999999998,0.256,1.6480000000000001,0.506
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.36,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,8.0,0.0,,cpdag,5,5,5,ER,ER,1.0,0.0,8.0,0.0,1.6,0.0,1.6,0.0,1.6,0.0
dag_5_nodes_5_edges_semantics_ER,Random,0.0,0.0,7.72,1.8,0.56,0.14,0.69,0.28,0.85,0.21,0.38,0.14,0.59,0.24,0.46,0.17,7.58,1.13,2.9,2.53,12.2,3.42,,cpdag,5,5,5,ER,ER,1.516,0.22599999999999998,12.2,3.42,2.44,0.6839999999999999,0.58,0.506,2.44,0.6839999999999999
dag_5_nodes_5_edges_semantics_SF,FGS,0.14,0.06,2.43,1.04,0.11,0.2,0.53,0.25,0.05,0.1,0.16,0.19,0.13,0.14,0.13,0.15,3.11,0.81,4.19,1.45,12.06,3.47,,cpdag,5,5,4,SF,SF,0.7775,0.2025,12.06,3.47,3.015,0.8675,1.0475,0.3625,3.015,0.8675
dag_5_nodes_5_edges_semantics_SF,NOTEARS-MLP,0.28,0.08,0.02,0.14,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.14,0.0,0.04,0.01,0.06,4.0,0.0,6.94,0.42,7.04,0.28,,cpdag,5,5,4,SF,SF,1.0,0.0,7.04,0.28,1.76,0.07,1.735,0.105,1.76,0.07
dag_5_nodes_5_edges_semantics_SF,Random,0.0,0.0,7.72,1.8,0.69,0.13,0.62,0.31,0.87,0.21,0.09,0.08,0.18,0.17,0.12,0.11,7.64,1.37,3.74,3.08,14.36,3.18,,cpdag,5,5,4,SF,SF,1.91,0.3425,14.36,3.18,3.59,0.795,0.935,0.77,3.59,0.795
dag_5_nodes_5_edges_semantics_random,FGS,0.08,0.05,3.42,1.14,0.22,0.29,0.52,0.24,0.16,0.23,0.74,0.28,0.48,0.21,0.57,0.22,3.96,1.65,4.24,2.12,13.1,2.63,,cpdag,5,5,5,random,LT,0.792,0.32999999999999996,13.1,2.63,2.62,0.526,0.8480000000000001,0.42400000000000004,2.62,0.526
dag_5_nodes_5_edges_semantics_random,NOTEARS-MLP,0.13,0.04,0.04,0.2,0.0,0.0,0.01,0.04,0.0,0.0,0.04,0.2,0.01,0.04,0.01,0.07,4.96,0.2,8.92,0.4,9.12,0.59,,cpdag,5,5,5,random,LT,0.992,0.04,9.12,0.59,1.8239999999999998,0.118,1.784,0.08,1.8239999999999998,0.118
dag_5_nodes_5_edges_semantics_random,Random,0.0,0.0,7.72,1.8,0.53,0.14,0.71,0.25,0.83,0.31,0.38,0.14,0.58,0.23,0.45,0.16,7.14,1.64,4.32,3.79,15.7,2.83,,cpdag,5,5,5,random,LT,1.428,0.32799999999999996,15.7,2.83,3.1399999999999997,0.5660000000000001,0.8640000000000001,0.758,3.1399999999999997,0.5660000000000001
dag_5_nodes_7_edges_degrees_ER,FGS,0.08,0.05,4.34,1.0,0.54,0.18,0.27,0.1,0.81,0.36,0.4,0.21,0.24,0.12,0.3,0.14,7.48,0.86,12.24,2.97,14.74,2.97,,cpdag,5,7,7,ER,ER,1.0685714285714287,0.12285714285714286,14.74,2.97,2.105714285714286,0.4242857142857143,1.7485714285714287,0.4242857142857143,2.105714285714286,0.4242857142857143
dag_5_nodes_7_edges_degrees_ER,NOTEARS-MLP,0.13,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,16.0,0.0,16.0,0.0,,cpdag,5,7,7,ER,ER,1.0,0.0,16.0,0.0,2.2857142857142856,0.0,2.2857142857142856,0.0,2.2857142857142856,0.0
dag_5_nodes_7_edges_degrees_ER,Random,0.0,0.0,7.72,1.8,0.37,0.13,0.7,0.23,0.95,0.35,0.25,0.12,0.27,0.12,0.26,0.11,7.04,1.05,5.2,4.41,16.8,2.35,,cpdag,5,7,7,ER,ER,1.0057142857142858,0.15,16.8,2.35,2.4,0.33571428571428574,0.7428571428571429,0.63,2.4,0.33571428571428574
